# operating on
# <a href=http://climexp.knmi.nl/select.cgi?field=era20c_t2m>climexp.knmi.nl/select.cgi?field=era20c_t2m</a>
# averaging anomalies over region lon=   -0.703  359.297, lat=  -89.622  -60.233
# file :: ./data/iera20c_t2m_0-360E_-90--60N_n.dat
# description :: ERA-20C T2m 0-360E -90--60N
# minimal_valid_fraction ::  30.00
# olderfile :: ERA-20C/era20c_t2m.nc
# cdi :: Climate Data Interface version 1.6.5.1 (http://code.zmaw.de/projects/cdi)
# cdo :: Climate Data Operators version 1.6.5.1 (http://code.zmaw.de/projects/cdo)
# institution :: KNMI Climate Explorer
# ave_region :: lon=   -0.703  359.297, lat=  -89.622  -60.233
# comment :: 
# history ::  2019-03-22 22:39:06 ./bin/plotdat anomal ./data/iera20c_t2m_0-360E_-90--60N_n.dat\n 2019-03-22 22:39:06 dat2nc ./data/iera20c_t2m_0-360E_-90--60N_n.dat i ERA-20C_T2m_0-360E_-90--60N ./data/iera20c_t2m_0-360E_-90--60N_n.nc n 2019-03-22 22:39:05 bin/get_index ERA-20C/era20c_t2m.nc 0 360 -90 -60 dipole no minfac 30 nearest lsmask ERA-20C/lsmask64.nc all nomissing era20c_t2m_0-360E_-90--60N_n nMon Jun 01 13:03:47 2015: cdo settaxis,1900-01-01,0:00,1mon noot.nc era20c_t2m.nc nMon Jun 01 13:00:48 2015: cdo monmean era20c_t2m_daily.nc noot.nc nMon Jun 01 12:49:21 2015: cdo -r -R -b 32 -f nc4 -z zip copy t2m1900.nc t2m1901.nc t2m1902.nc t2m1903.nc t2m1904.nc t2m1905.nc t2m1906.nc t2m1907.nc t2m1908.nc t2m1909.nc t2m1910.nc t2m1911.nc t2m1912.nc t2m1913.nc t2m1914.nc t2m1915.nc t2m1916.nc t2m1917.nc t2m1918.nc t2m1919.nc t2m1920.nc t2m1921.nc t2m1922.nc t2m1923.nc t2m1924.nc t2m1925.nc t2m1926.nc t2m1927.nc t2m1928.nc t2m1929.nc t2m1930.nc t2m1931.nc t2m1932.nc t2m1933.nc t2m1934.nc t2m1935.nc t2m1936.nc t2m1937.nc t2m1938.nc t2m1939.nc t2m1940.nc t2m1941.nc t2m1942.nc t2m1943.nc t2m1944.nc t2m1945.nc t2m1946.nc t2m1947.nc t2m1948.nc t2m1949.nc t2m1950.nc t2m1951.nc t2m1952.nc t2m1953.nc t2m1954.nc t2m1955.nc t2m1956.nc t2m1957.nc t2m1958.nc t2m1959.nc t2m1960.nc t2m1961.nc t2m1962.nc t2m1963.nc t2m1964.nc t2m1965.nc t2m1966.nc t2m1967.nc t2m1968.nc t2m1969.nc t2m1970.nc t2m1971.nc t2m1972.nc t2m1973.nc t2m1974.nc t2m1975.nc t2m1976.nc t2m1977.nc t2m1978.nc t2m1979.nc t2m1980.nc t2m1981.nc t2m1982.nc t2m1983.nc t2m1984.nc t2m1985.nc t2m1986.nc t2m1987.nc t2m1988.nc nMon Jun 01 12:06:29 2015: cdo -r -R -b 32 -f nc4 -z zip -settaxis,1900-01-01,12:00,1day t2m1900.nc aap.nc nMon Jun 01 12:06:23 2015: cdo -r -R -b 32 -f nc4 -z zip shifttime,-6hour noot.nc t2m1900.nc nMon Jun 01 12:06:17 2015: cdo -r -R -b 32 -f nc4 -z zip setname,t2m aap.nc noot.nc nMon Jun 01 12:06:11 2015: cdo -r -R -b 32 -f nc4 -z zip daymean t2m1900.grib aap.nc n2015-05-08 11:41:49 GMT by grib_to_netcdf-1.13.1: grib_to_netcdf /data/data04/scratch/mars-atls18-a562cefde8a29a7288fa0b8b7f9413f7-fLutek.target -o /data/data04/scratch/mars-atls18-a562cefde8a29a7288fa0b8b7f9413f7-wrIc5u.nc -utime
# t2m [K] 2 metre temperature
 1900.0000  0.214203    
 1900.0834  0.623566    
 1900.1666  0.781128    
 1900.2500  -1.06601    
 1900.3334 -0.363281    
 1900.4166 -0.185547    
 1900.5000   1.82082    
 1900.5834  0.635452    
 1900.6666  0.647278E-01
 1900.7500  0.643082    
 1900.8334  0.829254    
 1900.9166  0.228455    
 1901.0000  0.646973E-01
 1901.0834  0.217987    
 1901.1666  0.663910    
 1901.2500  -1.25742    
 1901.3334  -1.95688    
 1901.4166 -0.755737    
 1901.5000 -0.334595    
 1901.5834  0.462555    
 1901.6666 -0.448868    
 1901.7500  0.184875    
 1901.8334   1.12787    
 1901.9166  0.377838    
 1902.0000 -0.325928E-01
 1902.0834  0.322479    
 1902.1666   1.63980    
 1902.2500 -0.429306    
 1902.3334 -0.887589    
 1902.4166 -0.695938    
 1902.5000  0.480118    
 1902.5834  -1.22354    
 1902.6666 -0.241272    
 1902.7500   1.88527    
 1902.8334  -2.06064    
 1902.9166 -0.177643    
 1903.0000 -0.494995E-01
 1903.0834   1.17789    
 1903.1666   1.02463    
 1903.2500 -0.803619    
 1903.3334 -0.515686    
 1903.4166  0.916595E-01
 1903.5000  -1.02750    
 1903.5834  0.456543E-01
 1903.6666   2.52863    
 1903.7500  0.612976    
 1903.8334   1.30725    
 1903.9166  0.321533    
 1904.0000  0.324219    
 1904.0834 -0.471710    
 1904.1666 -0.448395    
 1904.2500 -0.332016    
 1904.3334  -2.31638    
 1904.4166  -1.05814    
 1904.5000  -2.13779    
 1904.5834  -1.88684    
 1904.6666 -0.735779    
 1904.7500 -0.584259E-01
 1904.8334 -0.249939    
 1904.9166  0.120453    
 1905.0000  0.339600    
 1905.0834 -0.163910    
 1905.1666  0.262024    
 1905.2500 -0.927811    
 1905.3334  0.411316    
 1905.4166  -1.44034    
 1905.5000 -0.124893    
 1905.5834 -0.731506E-01
 1905.6666 -0.630478    
 1905.7500 -0.528259E-01
 1905.8334 -0.563354    
 1905.9166 -0.752747    
 1906.0000 -0.171387    
 1906.0834 -0.434509    
 1906.1666 -0.203979    
 1906.2500 -0.409317    
 1906.3334  -1.42398    
 1906.4166  -1.26604    
 1906.5000 -0.479889E-01
 1906.5834  0.481857    
 1906.6666 -0.978775    
 1906.7500 -0.205521    
 1906.8334  0.237457    
 1906.9166  0.511353    
 1907.0000 -0.872406    
 1907.0834 -0.589722    
 1907.1666  -1.54849    
 1907.2500 -0.802811    
 1907.3334  -1.53789    
 1907.4166  0.989532E-01
 1907.5000  -2.16029    
 1907.5834  0.649155    
 1907.6666  -1.55957    
 1907.7500 -0.275269E-01
 1907.8334 -0.177551    
 1907.9166 -0.573761    
 1908.0000 -0.225403    
 1908.0834  0.335693    
 1908.1666   1.46072    
 1908.2500  -1.68752    
 1908.3334  -2.00049    
 1908.4166  -1.70024    
 1908.5000  -1.32849    
 1908.5834  0.821762    
 1908.6666  -1.46248    
 1908.7500   1.29417    
 1908.8334 -0.512695E-02
 1908.9166  0.639740    
 1909.0000  0.382690    
 1909.0834  0.369965    
 1909.1666 -0.638184    
 1909.2500 -0.418716    
 1909.3334  -1.84479    
 1909.4166  -2.83334    
 1909.5000  -2.34499    
 1909.5834 -0.447540    
 1909.6666  -1.53157    
 1909.7500  -1.02773    
 1909.8334 -0.199829    
 1909.9166  0.363831    
 1910.0000 -0.248901    
 1910.0834 -0.587128    
 1910.1666 -0.250977    
 1910.2500  -1.65932    
 1910.3334  -1.61928    
 1910.4166  -1.77684    
 1910.5000 -0.677094    
 1910.5834  -2.00035    
 1910.6666  -2.15887    
 1910.7500  -1.68732    
 1910.8334  0.346161    
 1910.9166 -0.330170    
 1911.0000  0.655518    
 1911.0834 -0.181610    
 1911.1666 -0.721497    
