# operating on
# <a href=http://climexp.knmi.nl/select.cgi?field=era20c_t2m>climexp.knmi.nl/select.cgi?field=era20c_t2m</a>
# averaging anomalies over region lon=   86.484   87.891, lat=   26.615   28.015
# file :: ./data/iera20c_t2m_86.881243-86.967217E_27.974629-28.021225N_n.dat
# description :: ERA-20C T2m 86.881243-86.967217E 27.974629-28.021225N
# minimal_valid_fraction ::  30.00
# olderfile :: ERA-20C/era20c_t2m.nc
# cdi :: Climate Data Interface version 1.6.5.1 (http://code.zmaw.de/projects/cdi)
# cdo :: Climate Data Operators version 1.6.5.1 (http://code.zmaw.de/projects/cdo)
# institution :: KNMI Climate Explorer
# ave_region :: lon=   86.484   87.891, lat=   26.615   28.015
# comment :: 
# history ::  2019-03-22 22:25:11 ./bin/plotdat anomal ./data/iera20c_t2m_86.881243-86.967217E_27.974629-28.021225N_n.dat\n 2019-03-22 22:25:10 dat2nc ./data/iera20c_t2m_86.881243-86.967217E_27.974629-28.021225N_n.dat i ERA-20C_T2m_86.881243-86.967217E_27.974629-28.021225N ./data/iera20c_t2m_86.881243-86.967217E_27.974629-28.021225N_n.nc n 2019-03-22 22:25:10 bin/get_index ERA-20C/era20c_t2m.nc 86.881243 86.967217 27.974629 28.021225 dipole no minfac 30 nearest lsmask ERA-20C/lsmask64.nc all nomissing era20c_t2m_86.881243-86.967217E_27.974629-28.021225N_n nMon Jun 01 13:03:47 2015: cdo settaxis,1900-01-01,0:00,1mon noot.nc era20c_t2m.nc nMon Jun 01 13:00:48 2015: cdo monmean era20c_t2m_daily.nc noot.nc nMon Jun 01 12:49:21 2015: cdo -r -R -b 32 -f nc4 -z zip copy t2m1900.nc t2m1901.nc t2m1902.nc t2m1903.nc t2m1904.nc t2m1905.nc t2m1906.nc t2m1907.nc t2m1908.nc t2m1909.nc t2m1910.nc t2m1911.nc t2m1912.nc t2m1913.nc t2m1914.nc t2m1915.nc t2m1916.nc t2m1917.nc t2m1918.nc t2m1919.nc t2m1920.nc t2m1921.nc t2m1922.nc t2m1923.nc t2m1924.nc t2m1925.nc t2m1926.nc t2m1927.nc t2m1928.nc t2m1929.nc t2m1930.nc t2m1931.nc t2m1932.nc t2m1933.nc t2m1934.nc t2m1935.nc t2m1936.nc t2m1937.nc t2m1938.nc t2m1939.nc t2m1940.nc t2m1941.nc t2m1942.nc t2m1943.nc t2m1944.nc t2m1945.nc t2m1946.nc t2m1947.nc t2m1948.nc t2m1949.nc t2m1950.nc t2m1951.nc t2m1952.nc t2m1953.nc t2m1954.nc t2m1955.nc t2m1956.nc t2m1957.nc t2m1958.nc t2m1959.nc t2m1960.nc t2m1961.nc t2m1962.nc t2m1963.nc t2m1964.nc t2m1965.nc t2m1966.nc t2m1967.nc t2m1968.nc t2m1969.nc t2m1970.nc t2m1971.nc t2m1972.nc t2m1973.nc t2m1974.nc t2m1975.nc t2m1976.nc t2m1977.nc t2m1978.nc t2m1979.nc t2m1980.nc t2m1981.nc t2m1982.nc t2m1983.nc t2m1984.nc t2m1985.nc t2m1986.nc t2m1987.nc t2m1988.nc nMon Jun 01 12:06:29 2015: cdo -r -R -b 32 -f nc4 -z zip -settaxis,1900-01-01,12:00,1day t2m1900.nc aap.nc nMon Jun 01 12:06:23 2015: cdo -r -R -b 32 -f nc4 -z zip shifttime,-6hour noot.nc t2m1900.nc nMon Jun 01 12:06:17 2015: cdo -r -R -b 32 -f nc4 -z zip setname,t2m aap.nc noot.nc nMon Jun 01 12:06:11 2015: cdo -r -R -b 32 -f nc4 -z zip daymean t2m1900.grib aap.nc n2015-05-08 11:41:49 GMT by grib_to_netcdf-1.13.1: grib_to_netcdf /data/data04/scratch/mars-atls18-a562cefde8a29a7288fa0b8b7f9413f7-fLutek.target -o /data/data04/scratch/mars-atls18-a562cefde8a29a7288fa0b8b7f9413f7-wrIc5u.nc -utime
# t2m [K] 2 metre temperature
 1900.0000  0.204987    
 1900.0834  -1.50046    
 1900.1666   1.33994    
 1900.2500  0.897461    
 1900.3334  -1.09311    
 1900.4166  0.169525    
 1900.5000 -0.249329E-01
 1900.5834  0.434784    
 1900.6666  0.362366    
 1900.7500  0.739807    
 1900.8334  0.253845    
 1900.9166 -0.570496    
 1901.0000  -3.90002    
 1901.0834  -1.92416    
 1901.1666 -0.239563    
 1901.2500  0.598053    
 1901.3334  -2.76151    
 1901.4166 -0.358765    
 1901.5000 -0.661316E-01
 1901.5834  0.269806    
 1901.6666 -0.893127    
 1901.7500  0.850006    
 1901.8334 -0.472961    
 1901.9166 -0.990906E-01
 1902.0000  -3.23611    
 1902.0834  0.105438    
 1902.1666  0.883026    
 1902.2500  -1.30875    
 1902.3334  -1.10602    
 1902.4166 -0.518066    
 1902.5000  0.186066    
 1902.5834  0.550812    
 1902.6666 -0.171143    
 1902.7500  -2.04620    
 1902.8334 -0.996063    
 1902.9166  -2.26910    
 1903.0000  -2.68253    
 1903.0834  -3.93466    
 1903.1666  0.286224    
 1903.2500  0.836151    
 1903.3334   2.62689    
 1903.4166  -1.64716    
 1903.5000 -0.382935    
 1903.5834 -0.756714    
 1903.6666 -0.873322    
 1903.7500 -0.216614    
 1903.8334  -1.05875    
 1903.9166  0.155304    
 1904.0000  0.526886    
 1904.0834  0.190033    
 1904.1666  0.553131    
 1904.2500  -1.21295    
 1904.3334  -1.93332    
 1904.4166 -0.964966    
 1904.5000  0.665070    
 1904.5834 -0.367615    
 1904.6666 -0.129639    
 1904.7500  -1.21719    
 1904.8334  -1.20535    
 1904.9166  -1.50839    
 1905.0000  -2.78900    
 1905.0834  -3.26074    
 1905.1666  -2.32779    
 1905.2500  -2.14594    
 1905.3334  -2.16092    
 1905.4166 -0.923676    
 1905.5000 -0.508118E-01
 1905.5834 -0.223389    
 1905.6666 -0.178619    
 1905.7500  0.175385    
 1905.8334  -1.73386    
 1905.9166  -3.08960    
 1906.0000 -0.435181E-01
 1906.0834  -1.41806    
 1906.1666  -1.58746    
 1906.2500  -2.24033    
 1906.3334   1.63058    
 1906.4166 -0.169861    
 1906.5000  0.160065    
 1906.5834 -0.210815    
 1906.6666  0.212860    
 1906.7500 -0.597504    
 1906.8334 -0.709045    
 1906.9166 -0.893494    
 1907.0000  -1.74371    
 1907.0834  -2.20087    
 1907.1666  -5.43777    
 1907.2500  -2.85733    
 1907.3334 -0.867004    
 1907.4166 -0.579071    
 1907.5000 -0.302338    
 1907.5834 -0.254211    
 1907.6666 -0.480530    
 1907.7500 -0.490295    
 1907.8334 -0.523682E-01
 1907.9166  0.108795    
 1908.0000  0.533875    
 1908.0834  0.353333    
 1908.1666  0.677185E-01
 1908.2500   2.62766    
 1908.3334   3.41049    
 1908.4166  0.686218    
 1908.5000  0.120850E-01
 1908.5834  0.460815E-02
 1908.6666 -0.625427    
 1908.7500 -0.592896    
 1908.8334  -1.02255    
 1908.9166 -0.772491    
 1909.0000 -0.665314    
 1909.0834 -0.682251    
 1909.1666   1.24042    
 1909.2500   1.12827    
 1909.3334  0.854706    
 1909.4166 -0.804474    
 1909.5000 -0.759277E-01
 1909.5834 -0.837402    
 1909.6666  0.375183    
 1909.7500  0.208008    
 1909.8334  0.102539E-01
 1909.9166 -0.895294    
 1910.0000  0.222504    
 1910.0834  0.630249    
 1910.1666 -0.114746E-01
 1910.2500   2.95657    
 1910.3334   2.94089    
 1910.4166  -1.76456    
 1910.5000 -0.604218    
 1910.5834 -0.650909    
 1910.6666  0.974731E-01
 1910.7500  -1.41782    
 1910.8334  -1.03687    
 1910.9166 -0.721893    
 1911.0000  -2.02271    
 1911.0834  -2.71646    
 1911.1666  -1.75659    
 1911.2500  0.383362    
 1911.3334  0.376190    
 1911.4166  -1.12048    
 1911.5000 -0.456238E-01
 1911.5834  0.373840E-01
 1911.6666 -0.321228    
