# operating on
# <a href=http://climexp.knmi.nl/select.cgi?field=era20c_t2m>climexp.knmi.nl/select.cgi?field=era20c_t2m</a>
# averaging anomalies over region lon=   -0.703  359.297, lat=    0.000   89.622
# file :: ./data/iera20c_t2m_0-360E_0-90N_n.dat
# description :: ERA-20C T2m 0-360E 0-90N
# minimal_valid_fraction ::  30.00
# olderfile :: ERA-20C/era20c_t2m.nc
# cdi :: Climate Data Interface version 1.6.5.1 (http://code.zmaw.de/projects/cdi)
# cdo :: Climate Data Operators version 1.6.5.1 (http://code.zmaw.de/projects/cdo)
# institution :: KNMI Climate Explorer
# ave_region :: lon=   -0.703  359.297, lat=    0.000   89.622
# comment :: 
# history ::  2019-03-22 22:07:10 ./bin/plotdat anomal ./data/iera20c_t2m_0-360E_0-90N_n.dat\n 2019-03-22 22:07:09 dat2nc ./data/iera20c_t2m_0-360E_0-90N_n.dat i ERA-20C_T2m_0-360E_0-90N ./data/iera20c_t2m_0-360E_0-90N_n.nc n 2019-03-22 22:07:07 bin/get_index ERA-20C/era20c_t2m.nc 0 360 0 90 dipole no minfac 30 nearest lsmask ERA-20C/lsmask64.nc all nomissing era20c_t2m_0-360E_0-90N_n nMon Jun 01 13:03:47 2015: cdo settaxis,1900-01-01,0:00,1mon noot.nc era20c_t2m.nc nMon Jun 01 13:00:48 2015: cdo monmean era20c_t2m_daily.nc noot.nc nMon Jun 01 12:49:21 2015: cdo -r -R -b 32 -f nc4 -z zip copy t2m1900.nc t2m1901.nc t2m1902.nc t2m1903.nc t2m1904.nc t2m1905.nc t2m1906.nc t2m1907.nc t2m1908.nc t2m1909.nc t2m1910.nc t2m1911.nc t2m1912.nc t2m1913.nc t2m1914.nc t2m1915.nc t2m1916.nc t2m1917.nc t2m1918.nc t2m1919.nc t2m1920.nc t2m1921.nc t2m1922.nc t2m1923.nc t2m1924.nc t2m1925.nc t2m1926.nc t2m1927.nc t2m1928.nc t2m1929.nc t2m1930.nc t2m1931.nc t2m1932.nc t2m1933.nc t2m1934.nc t2m1935.nc t2m1936.nc t2m1937.nc t2m1938.nc t2m1939.nc t2m1940.nc t2m1941.nc t2m1942.nc t2m1943.nc t2m1944.nc t2m1945.nc t2m1946.nc t2m1947.nc t2m1948.nc t2m1949.nc t2m1950.nc t2m1951.nc t2m1952.nc t2m1953.nc t2m1954.nc t2m1955.nc t2m1956.nc t2m1957.nc t2m1958.nc t2m1959.nc t2m1960.nc t2m1961.nc t2m1962.nc t2m1963.nc t2m1964.nc t2m1965.nc t2m1966.nc t2m1967.nc t2m1968.nc t2m1969.nc t2m1970.nc t2m1971.nc t2m1972.nc t2m1973.nc t2m1974.nc t2m1975.nc t2m1976.nc t2m1977.nc t2m1978.nc t2m1979.nc t2m1980.nc t2m1981.nc t2m1982.nc t2m1983.nc t2m1984.nc t2m1985.nc t2m1986.nc t2m1987.nc t2m1988.nc nMon Jun 01 12:06:29 2015: cdo -r -R -b 32 -f nc4 -z zip -settaxis,1900-01-01,12:00,1day t2m1900.nc aap.nc nMon Jun 01 12:06:23 2015: cdo -r -R -b 32 -f nc4 -z zip shifttime,-6hour noot.nc t2m1900.nc nMon Jun 01 12:06:17 2015: cdo -r -R -b 32 -f nc4 -z zip setname,t2m aap.nc noot.nc nMon Jun 01 12:06:11 2015: cdo -r -R -b 32 -f nc4 -z zip daymean t2m1900.grib aap.nc n2015-05-08 11:41:49 GMT by grib_to_netcdf-1.13.1: grib_to_netcdf /data/data04/scratch/mars-atls18-a562cefde8a29a7288fa0b8b7f9413f7-fLutek.target -o /data/data04/scratch/mars-atls18-a562cefde8a29a7288fa0b8b7f9413f7-wrIc5u.nc -utime
# t2m [K] 2 metre temperature
 1900.0000 -0.750549    
 1900.0834 -0.224060    
 1900.1666  0.456635    
 1900.2500  0.352295    
 1900.3334  0.302338    
 1900.4166  0.155823    
 1900.5000  0.165100E-01
 1900.5834  0.519409E-01
 1900.6666 -0.177307E-01
 1900.7500  0.116974    
 1900.8334 -0.164124    
 1900.9166 -0.186096    
 1901.0000 -0.657440    
 1901.0834 -0.774536E-01
 1901.1666  0.328552    
 1901.2500  0.264313    
 1901.3334  0.106049    
 1901.4166  0.979309E-01
 1901.5000 -0.290802    
 1901.5834 -0.176849    
 1901.6666 -0.341431    
 1901.7500 -0.368317    
 1901.8334 -0.368347E-01
 1901.9166 -0.681000    
 1902.0000 -0.389648    
 1902.0834  0.198364E-01
 1902.1666 -0.122467    
 1902.2500 -0.265778    
 1902.3334 -0.271576    
 1902.4166 -0.277649    
 1902.5000 -0.441589    
 1902.5834 -0.269257    
 1902.6666 -0.112518    
 1902.7500 -0.120239    
 1902.8334 -0.935364E-01
 1902.9166 -0.416779    
 1903.0000 -0.193054    
 1903.0834 -0.231445    
 1903.1666  0.311584E-01
 1903.2500 -0.401489    
 1903.3334 -0.280975    
 1903.4166 -0.483978    
 1903.5000 -0.633087    
 1903.5834 -0.691254    
 1903.6666 -0.764130    
 1903.7500 -0.658936    
 1903.8334 -0.787109    
 1903.9166 -0.723602    
 1904.0000 -0.684937    
 1904.0834 -0.584656    
 1904.1666 -0.479950    
 1904.2500 -0.420685    
 1904.3334 -0.476563    
 1904.4166 -0.459351    
 1904.5000 -0.378082    
 1904.5834 -0.554443    
 1904.6666 -0.693512    
 1904.7500 -0.588928    
 1904.8334 -0.526611    
 1904.9166 -0.704590    
 1905.0000 -0.443756    
 1905.0834 -0.593658    
 1905.1666 -0.564667    
 1905.2500 -0.771698    
 1905.3334 -0.141876    
 1905.4166 -0.196655    
 1905.5000 -0.217590    
 1905.5834 -0.181366    
 1905.6666 -0.239410    
 1905.7500 -0.250427    
 1905.8334 -0.364410    
 1905.9166 -0.295074    
 1906.0000 -0.628754    
 1906.0834 -0.355255    
 1906.1666 -0.986633E-01
 1906.2500  0.223022    
 1906.3334  0.263245    
 1906.4166 -0.170074    
 1906.5000 -0.131195    
 1906.5834 -0.131561    
 1906.6666 -0.335632    
 1906.7500 -0.293274E-01
 1906.8334 -0.545929    
 1906.9166 -0.310883    
 1907.0000 -0.371033    
 1907.0834 -0.981842    
 1907.1666 -0.797424E-01
 1907.2500 -0.256592    
 1907.3334 -0.375275    
 1907.4166 -0.339355    
 1907.5000 -0.452301    
 1907.5834 -0.510559    
 1907.6666 -0.291534    
 1907.7500 -0.203735    
 1907.8334 -0.114410    
 1907.9166 -0.231476    
 1908.0000 -0.267456    
 1908.0834 -0.410767    
 1908.1666 -0.683044    
 1908.2500 -0.177795    
 1908.3334 -0.346863    
 1908.4166 -0.360474    
 1908.5000 -0.437592    
 1908.5834 -0.413452    
 1908.6666 -0.597321    
 1908.7500 -0.509521    
 1908.8334 -0.729523    
 1908.9166 -0.754578    
 1909.0000 -0.971954    
 1909.0834 -0.424042    
 1909.1666 -0.309265    
 1909.2500 -0.290405    
 1909.3334 -0.361572    
 1909.4166 -0.346954    
 1909.5000 -0.445709    
 1909.5834 -0.435852    
 1909.6666 -0.458435    
 1909.7500 -0.304718    
 1909.8334 -0.167328    
 1909.9166 -0.479584    
 1910.0000 -0.413055    
 1910.0834 -0.585938E-02
 1910.1666 -0.569550    
 1910.2500 -0.135101    
 1910.3334 -0.197754    
 1910.4166 -0.280365    
 1910.5000 -0.375885    
 1910.5834 -0.466248    
 1910.6666 -0.530121    
 1910.7500 -0.377136    
 1910.8334 -0.765320    
 1910.9166  -1.12650    
