# operating on
# <a href=http://climexp.knmi.nl/select.cgi?field=era20c_t2m>climexp.knmi.nl/select.cgi?field=era20c_t2m</a>
# averaging anomalies over region lon=   -0.703  359.297, lat=  -89.622    0.000
# file :: ./data/iera20c_t2m_0-360E_-90-0N_n.dat
# description :: ERA-20C T2m 0-360E -90-0N
# minimal_valid_fraction ::  30.00
# olderfile :: ERA-20C/era20c_t2m.nc
# cdi :: Climate Data Interface version 1.6.5.1 (http://code.zmaw.de/projects/cdi)
# cdo :: Climate Data Operators version 1.6.5.1 (http://code.zmaw.de/projects/cdo)
# institution :: KNMI Climate Explorer
# ave_region :: lon=   -0.703  359.297, lat=  -89.622    0.000
# comment :: 
# history ::  2019-03-22 22:08:12 ./bin/plotdat anomal ./data/iera20c_t2m_0-360E_-90-0N_n.dat\n 2019-03-22 22:08:11 dat2nc ./data/iera20c_t2m_0-360E_-90-0N_n.dat i ERA-20C_T2m_0-360E_-90-0N ./data/iera20c_t2m_0-360E_-90-0N_n.nc n 2019-03-22 22:08:10 bin/get_index ERA-20C/era20c_t2m.nc 0 360 -90 0 dipole no minfac 30 nearest lsmask ERA-20C/lsmask64.nc all nomissing era20c_t2m_0-360E_-90-0N_n nMon Jun 01 13:03:47 2015: cdo settaxis,1900-01-01,0:00,1mon noot.nc era20c_t2m.nc nMon Jun 01 13:00:48 2015: cdo monmean era20c_t2m_daily.nc noot.nc nMon Jun 01 12:49:21 2015: cdo -r -R -b 32 -f nc4 -z zip copy t2m1900.nc t2m1901.nc t2m1902.nc t2m1903.nc t2m1904.nc t2m1905.nc t2m1906.nc t2m1907.nc t2m1908.nc t2m1909.nc t2m1910.nc t2m1911.nc t2m1912.nc t2m1913.nc t2m1914.nc t2m1915.nc t2m1916.nc t2m1917.nc t2m1918.nc t2m1919.nc t2m1920.nc t2m1921.nc t2m1922.nc t2m1923.nc t2m1924.nc t2m1925.nc t2m1926.nc t2m1927.nc t2m1928.nc t2m1929.nc t2m1930.nc t2m1931.nc t2m1932.nc t2m1933.nc t2m1934.nc t2m1935.nc t2m1936.nc t2m1937.nc t2m1938.nc t2m1939.nc t2m1940.nc t2m1941.nc t2m1942.nc t2m1943.nc t2m1944.nc t2m1945.nc t2m1946.nc t2m1947.nc t2m1948.nc t2m1949.nc t2m1950.nc t2m1951.nc t2m1952.nc t2m1953.nc t2m1954.nc t2m1955.nc t2m1956.nc t2m1957.nc t2m1958.nc t2m1959.nc t2m1960.nc t2m1961.nc t2m1962.nc t2m1963.nc t2m1964.nc t2m1965.nc t2m1966.nc t2m1967.nc t2m1968.nc t2m1969.nc t2m1970.nc t2m1971.nc t2m1972.nc t2m1973.nc t2m1974.nc t2m1975.nc t2m1976.nc t2m1977.nc t2m1978.nc t2m1979.nc t2m1980.nc t2m1981.nc t2m1982.nc t2m1983.nc t2m1984.nc t2m1985.nc t2m1986.nc t2m1987.nc t2m1988.nc nMon Jun 01 12:06:29 2015: cdo -r -R -b 32 -f nc4 -z zip -settaxis,1900-01-01,12:00,1day t2m1900.nc aap.nc nMon Jun 01 12:06:23 2015: cdo -r -R -b 32 -f nc4 -z zip shifttime,-6hour noot.nc t2m1900.nc nMon Jun 01 12:06:17 2015: cdo -r -R -b 32 -f nc4 -z zip setname,t2m aap.nc noot.nc nMon Jun 01 12:06:11 2015: cdo -r -R -b 32 -f nc4 -z zip daymean t2m1900.grib aap.nc n2015-05-08 11:41:49 GMT by grib_to_netcdf-1.13.1: grib_to_netcdf /data/data04/scratch/mars-atls18-a562cefde8a29a7288fa0b8b7f9413f7-fLutek.target -o /data/data04/scratch/mars-atls18-a562cefde8a29a7288fa0b8b7f9413f7-wrIc5u.nc -utime
# t2m [K] 2 metre temperature
 1900.0000 -0.989075E-01
 1900.0834  0.783691E-01
 1900.1666  0.532532E-01
 1900.2500 -0.787354E-01
 1900.3334 -0.226074    
 1900.4166 -0.268524    
 1900.5000 -0.586548E-01
 1900.5834 -0.179901    
 1900.6666 -0.258728    
 1900.7500 -0.973511E-01
 1900.8334 -0.383606E-01
 1900.9166 -0.350342E-01
 1901.0000 -0.729370E-02
 1901.0834 -0.695190E-01
 1901.1666  0.512695E-01
 1901.2500 -0.310730    
 1901.3334 -0.433563    
 1901.4166 -0.313416    
 1901.5000 -0.384674    
 1901.5834 -0.327606    
 1901.6666 -0.366913    
 1901.7500 -0.238434    
 1901.8334  0.269470E-01
 1901.9166 -0.124542    
 1902.0000 -0.167511    
 1902.0834  0.231628E-01
 1902.1666 -0.198364E-01
 1902.2500 -0.203735    
 1902.3334 -0.289154    
 1902.4166 -0.295715    
 1902.5000 -0.286957    
 1902.5834 -0.443420    
 1902.6666 -0.347107    
 1902.7500  0.924683E-01
 1902.8334 -0.471466    
 1902.9166 -0.218262    
 1903.0000 -0.203094    
 1903.0834 -0.127258E-01
 1903.1666 -0.464478E-01
 1903.2500 -0.355133    
 1903.3334 -0.284454    
 1903.4166 -0.431915    
 1903.5000 -0.562866    
 1903.5834 -0.657715    
 1903.6666 -0.968323E-01
 1903.7500 -0.324158    
 1903.8334 -0.213257    
 1903.9166 -0.365051    
 1904.0000 -0.283417    
 1904.0834 -0.424835    
 1904.1666 -0.524841    
 1904.2500 -0.388245    
 1904.3334 -0.738068    
 1904.4166 -0.612427    
 1904.5000 -0.585571    
 1904.5834 -0.582825    
 1904.6666 -0.504913    
 1904.7500 -0.327637    
 1904.8334 -0.297943    
 1904.9166 -0.227936    
 1905.0000 -0.208893    
 1905.0834 -0.273224    
 1905.1666 -0.144257    
 1905.2500 -0.499329    
 1905.3334 -0.259552    
 1905.4166 -0.388611    
 1905.5000 -0.433868    
 1905.5834 -0.182709    
 1905.6666 -0.296722    
 1905.7500 -0.154358    
 1905.8334 -0.241150    
 1905.9166 -0.179138    
 1906.0000 -0.108002    
 1906.0834 -0.269470E-01
 1906.1666 -0.123535    
 1906.2500 -0.185028    
 1906.3334 -0.333069    
 1906.4166 -0.433014    
 1906.5000 -0.346771    
 1906.5834 -0.339722    
 1906.6666 -0.601105    
 1906.7500 -0.361847    
 1906.8334 -0.295959    
 1906.9166 -0.148956    
 1907.0000 -0.326721    
 1907.0834 -0.401642    
 1907.1666 -0.564056    
 1907.2500 -0.455627    
 1907.3334 -0.645447    
 1907.4166 -0.365631    
 1907.5000 -0.724274    
 1907.5834 -0.421112    
 1907.6666 -0.691620    
 1907.7500 -0.394745    
 1907.8334 -0.314362    
 1907.9166 -0.349152    
 1908.0000 -0.315002    
 1908.0834 -0.315521    
 1908.1666 -0.813599E-01
 1908.2500 -0.499634    
 1908.3334 -0.641052    
 1908.4166 -0.651215    
 1908.5000 -0.535156    
 1908.5834 -0.312897    
 1908.6666 -0.683105    
 1908.7500 -0.279053    
 1908.8334 -0.456848    
 1908.9166 -0.328735    
 1909.0000 -0.325195    
 1909.0834 -0.248138    
 1909.1666 -0.602142    
 1909.2500 -0.584534    
 1909.3334 -0.697266    
 1909.4166 -0.828430    
 1909.5000 -0.849854    
 1909.5834 -0.452301    
 1909.6666 -0.668915    
 1909.7500 -0.648956    
 1909.8334 -0.448364    
 1909.9166 -0.397247    
 1910.0000 -0.423004    
 1910.0834 -0.472931    
 1910.1666 -0.600861    
 1910.2500 -0.755524    
 1910.3334 -0.766663    
 1910.4166 -0.686829    
 1910.5000 -0.591278    
 1910.5834 -0.758514    
 1910.6666 -0.717621    
 1910.7500 -0.743439    
 1910.8334 -0.471863    
