# operating on
# <a href=http://climexp.knmi.nl/select.cgi?field=era20c_t2m>climexp.knmi.nl/select.cgi?field=era20c_t2m</a>
# averaging anomalies over region lon=   -0.703  359.297, lat=  -89.622   89.622
# file :: ./data/iera20c_t2m_0-360E_-90-90N_n.dat
# description :: ERA-20C T2m 0-360E -90-90N
# minimal_valid_fraction ::  30.00
# olderfile :: ERA-20C/era20c_t2m.nc
# cdi :: Climate Data Interface version 1.6.5.1 (http://code.zmaw.de/projects/cdi)
# cdo :: Climate Data Operators version 1.6.5.1 (http://code.zmaw.de/projects/cdo)
# institution :: KNMI Climate Explorer
# ave_region :: lon=   -0.703  359.297, lat=  -89.622   89.622
# comment :: 
# history ::  2019-03-22 14:59:25 ./bin/plotdat anomal ./data/iera20c_t2m_0-360E_-90-90N_n.dat\n 2019-03-22 14:59:25 dat2nc ./data/iera20c_t2m_0-360E_-90-90N_n.dat i ERA-20C_T2m_0-360E_-90-90N ./data/iera20c_t2m_0-360E_-90-90N_n.nc n 2019-03-22 14:59:22 bin/get_index ERA-20C/era20c_t2m.nc 0 360 -90 90 dipole no minfac 30 nearest lsmask ERA-20C/lsmask64.nc all nomissing era20c_t2m_0-360E_-90-90N_n nMon Jun 01 13:03:47 2015: cdo settaxis,1900-01-01,0:00,1mon noot.nc era20c_t2m.nc nMon Jun 01 13:00:48 2015: cdo monmean era20c_t2m_daily.nc noot.nc nMon Jun 01 12:49:21 2015: cdo -r -R -b 32 -f nc4 -z zip copy t2m1900.nc t2m1901.nc t2m1902.nc t2m1903.nc t2m1904.nc t2m1905.nc t2m1906.nc t2m1907.nc t2m1908.nc t2m1909.nc t2m1910.nc t2m1911.nc t2m1912.nc t2m1913.nc t2m1914.nc t2m1915.nc t2m1916.nc t2m1917.nc t2m1918.nc t2m1919.nc t2m1920.nc t2m1921.nc t2m1922.nc t2m1923.nc t2m1924.nc t2m1925.nc t2m1926.nc t2m1927.nc t2m1928.nc t2m1929.nc t2m1930.nc t2m1931.nc t2m1932.nc t2m1933.nc t2m1934.nc t2m1935.nc t2m1936.nc t2m1937.nc t2m1938.nc t2m1939.nc t2m1940.nc t2m1941.nc t2m1942.nc t2m1943.nc t2m1944.nc t2m1945.nc t2m1946.nc t2m1947.nc t2m1948.nc t2m1949.nc t2m1950.nc t2m1951.nc t2m1952.nc t2m1953.nc t2m1954.nc t2m1955.nc t2m1956.nc t2m1957.nc t2m1958.nc t2m1959.nc t2m1960.nc t2m1961.nc t2m1962.nc t2m1963.nc t2m1964.nc t2m1965.nc t2m1966.nc t2m1967.nc t2m1968.nc t2m1969.nc t2m1970.nc t2m1971.nc t2m1972.nc t2m1973.nc t2m1974.nc t2m1975.nc t2m1976.nc t2m1977.nc t2m1978.nc t2m1979.nc t2m1980.nc t2m1981.nc t2m1982.nc t2m1983.nc t2m1984.nc t2m1985.nc t2m1986.nc t2m1987.nc t2m1988.nc nMon Jun 01 12:06:29 2015: cdo -r -R -b 32 -f nc4 -z zip -settaxis,1900-01-01,12:00,1day t2m1900.nc aap.nc nMon Jun 01 12:06:23 2015: cdo -r -R -b 32 -f nc4 -z zip shifttime,-6hour noot.nc t2m1900.nc nMon Jun 01 12:06:17 2015: cdo -r -R -b 32 -f nc4 -z zip setname,t2m aap.nc noot.nc nMon Jun 01 12:06:11 2015: cdo -r -R -b 32 -f nc4 -z zip daymean t2m1900.grib aap.nc n2015-05-08 11:41:49 GMT by grib_to_netcdf-1.13.1: grib_to_netcdf /data/data04/scratch/mars-atls18-a562cefde8a29a7288fa0b8b7f9413f7-fLutek.target -o /data/data04/scratch/mars-atls18-a562cefde8a29a7288fa0b8b7f9413f7-wrIc5u.nc -utime
# t2m [K] 2 metre temperature
 1900.0000 -0.426483    
 1900.0834 -0.740662E-01
 1900.1666  0.254059    
 1900.2500  0.139069    
 1900.3334  0.380554E-01
 1900.4166 -0.564575E-01
 1900.5000 -0.225830E-01
 1900.5834 -0.649719E-01
 1900.6666 -0.136658    
 1900.7500  0.839233E-02
 1900.8334 -0.102875    
 1900.9166 -0.110901    
 1901.0000 -0.333405    
 1901.0834 -0.726624E-01
 1901.1666  0.188934    
 1901.2500 -0.223084E-01
 1901.3334 -0.163361    
 1901.4166 -0.109863    
 1901.5000 -0.339386    
 1901.5834 -0.251587    
 1901.6666 -0.354950    
 1901.7500 -0.304016    
 1901.8334 -0.515747E-02
 1901.9166 -0.400787    
 1902.0000 -0.279510    
 1902.0834  0.201416E-01
 1902.1666 -0.745544E-01
 1902.2500 -0.237518    
 1902.3334 -0.280762    
 1902.4166 -0.285858    
 1902.5000 -0.362976    
 1902.5834 -0.355682    
 1902.6666 -0.229462    
 1902.7500 -0.142212E-01
 1902.8334 -0.279175    
 1902.9166 -0.316986    
 1903.0000 -0.197784    
 1903.0834 -0.126953    
 1903.1666 -0.726318E-02
 1903.2500 -0.380219    
 1903.3334 -0.282959    
 1903.4166 -0.457764    
 1903.5000 -0.595795    
 1903.5834 -0.676758    
 1903.6666 -0.430847    
 1903.7500 -0.491119    
 1903.8334 -0.501556    
 1903.9166 -0.543793    
 1904.0000 -0.486084    
 1904.0834 -0.505554    
 1904.1666 -0.503052    
 1904.2500 -0.403229    
 1904.3334 -0.604858    
 1904.4166 -0.534058    
 1904.5000 -0.482574    
 1904.5834 -0.570862    
 1904.6666 -0.599060    
 1904.7500 -0.459808    
 1904.8334 -0.412659    
 1904.9166 -0.466705    
 1905.0000 -0.327484    
 1905.0834 -0.433777    
 1905.1666 -0.355865    
 1905.2500 -0.634613    
 1905.3334 -0.200653    
 1905.4166 -0.292847    
 1905.5000 -0.325592    
 1905.5834 -0.181885    
 1905.6666 -0.269867    
 1905.7500 -0.203094    
 1905.8334 -0.302460    
 1905.9166 -0.237396    
 1906.0000 -0.364685    
 1906.0834 -0.189667    
 1906.1666 -0.109741    
 1906.2500  0.158691E-01
 1906.3334 -0.333557E-01
 1906.4166 -0.300171    
 1906.5000 -0.237793    
 1906.5834 -0.236969    
 1906.6666 -0.469269    
 1906.7500 -0.192993    
 1906.8334 -0.418274    
 1906.9166 -0.229584    
 1907.0000 -0.349487    
 1907.0834 -0.691772    
 1907.1666 -0.320251    
 1907.2500 -0.354309    
 1907.3334 -0.510071    
 1907.4166 -0.354950    
 1907.5000 -0.587585    
 1907.5834 -0.465057    
 1907.6666 -0.490845    
 1907.7500 -0.298492    
 1907.8334 -0.214050    
 1907.9166 -0.291779    
 1908.0000 -0.291992    
 1908.0834 -0.359467    
 1908.1666 -0.383667    
 1908.2500 -0.338928    
 1908.3334 -0.493561    
 1908.4166 -0.507355    
 1908.5000 -0.486176    
 1908.5834 -0.362274    
 1908.6666 -0.642944    
 1908.7500 -0.394897    
 1908.8334 -0.592255    
 1908.9166 -0.541199    
 1909.0000 -0.650085    
 1909.0834 -0.338776    
 1909.1666 -0.456055    
 1909.2500 -0.437714    
 1909.3334 -0.528656    
 1909.4166 -0.585968    
 1909.5000 -0.648285    
 1909.5834 -0.444183    
 1909.6666 -0.564148    
 1909.7500 -0.476013    
 1909.8334 -0.308350    
 1909.9166 -0.437683    
 1910.0000 -0.419586    
 1910.0834 -0.237579    
 1910.1666 -0.583557    
 1910.2500 -0.444733    
 1910.3334 -0.483368    
 1910.4166 -0.483459    
 1910.5000 -0.483795    
 1910.5834 -0.612579    
 1910.6666 -0.623444    
 1910.7500 -0.560120    
 1910.8334 -0.618164    
 1910.9166 -0.805603    
